Arquivo de Áudio,Transcrição
audio_1.wav,escolas eu não consigo aceitar e por isso eu me sinto muito
audio_10.wav,Então quer dizer que seus apoiadores tem que rezar para o senhor o senhor Paulo
audio_100.wav,articulação
audio_1000.wav,nome da Defesa democrática
audio_10000.wav,que que tem uma um número significativo né houve um aumento ali
audio_10001.wav,sofreu muitas expressões quando
audio_10003.wav,ver como eu uma vez eu ouvi de uma pessoa relevante
audio_10004.wav,inclusive levei pancada na imprensa né gastou o dinheiro
audio_10005.wav,esse será os
audio_10006.wav,peso o ex-presidente Lula lhe chamou de garota bonita
audio_10007.wav,colete à Prova de Balas de vez em quando
audio_10008.wav,Eu gostaria que você voltasse ao programa do Senhor e o senhor respondesse ao Senhor Ivan de Souza
audio_10009.wav,brasileira debata senão diariamente Pelo menos tem mais ou menos
audio_1001.wav,ele é importante eu comprei o motorista tá
audio_10010.wav,teria sido não mandar fuzilar Fernando Henrique
audio_10011.wav,tirar do rico para dar para o pobre e o governo não tá tirando do rico
audio_10012.wav,deixando na creche de tarde cuidando
audio_10013.wav,fazer improviso que não tinha ninguém assistindo não
audio_10014.wav,nada nada só pagamos fomos para o aeroporto tremendo
audio_10015.wav,tá em 80% do PIB
audio_10016.wav,mãe da CLT fre
audio_10017.wav,[Erro] Não foi possível transcrever o áudio
audio_10018.wav,de homofobia
audio_10019.wav,[Erro] Não foi possível transcrever o áudio
audio_1002.wav,aí eu falei preparem ele que ele é muito Amado eu não vou poder
audio_10020.wav,[Erro] Não foi possível transcrever o áudio
audio_10022.wav,Então veja nós continuamos torcendo para que haja o con
audio_10023.wav,[Erro] Não foi possível transcrever o áudio
audio_10024.wav,sou pré-candidato à presidência do PCdoB mas poderia para alguém em serviço na sua Chapa
audio_10025.wav,Você tem certeza que o
audio_10026.wav,pergunta que o Fábio me fez é como é que você tá de
audio_10027.wav,então
audio_10028.wav,da minha diploma
audio_10029.wav,dental já que eu acredito que os prefeitos devem continuar
audio_1003.wav,[Erro] Não foi possível transcrever o áudio
audio_10030.wav,já que eu tô gastando e ele só falaram a gente viveu o Poseidon
audio_10031.wav,brincadeira começou porque o meu irmão foi na televisão com cinco anos de idade e eu em casa
audio_10032.wav,[Erro] Não foi possível transcrever o áudio
audio_10033.wav,e assim eu faço
audio_10034.wav,como
audio_10035.wav,voltar uma casa aqui primeiro
audio_10036.wav,ter acesso
audio_10037.wav,Agreste é tudo isso né a dificuldade
audio_10038.wav,[Erro] Não foi possível transcrever o áudio
audio_10039.wav,só tem que ser afrodescendente se o vigésimo
audio_1004.wav,e se foram ainda
audio_10040.wav,falta de espaço e inclusive de ações racistas da cú
audio_10041.wav,Ferreira que se
audio_10042.wav,estamos em São Brás eu acordo
audio_10043.wav,E aí você pediu desculpas para eles
audio_10044.wav,assistência técnica
audio_10045.wav,papai era um da vinte
audio_10046.wav,sabe um amigo nosso já tinha bebido um pouquinho
audio_10049.wav,[Erro] Não foi possível transcrever o áudio
audio_1005.wav,fazer pedido da Sky Wolf
audio_10050.wav,fazer um pouco alguma
audio_10051.wav,número do nascimento de que você não pode tomar Nenhuma medida de
audio_10052.wav,da Fazenda como se entende
audio_10053.wav,pegou empréstimo r$ 9 bilhões de reais e aproximadamente 5
audio_10054.wav,quando vem a pesquisa a gente tinha caído
audio_10055.wav,primeiro porque
audio_10056.wav,leds é novo que frau
audio_10057.wav,América grande qual a diferença
audio_10058.wav,sua vida
audio_10059.wav,Teoricamente que era contra a estabilidade porque
audio_1006.wav,peso nominal né porque o centrão é composto de uma série de
audio_10060.wav,entraremos
audio_10061.wav,teve
audio_10062.wav,lugar eu não vou
audio_10063.wav,que
audio_10064.wav,[Erro] Não foi possível transcrever o áudio
audio_10065.wav,se a gente tivesse colocado em prática
audio_10066.wav,Às vezes tem que
audio_10067.wav,podem se inspirar em outras Nações alguns dizem o Brasil pode ser os Estados Unidos
audio_10068.wav,ele acabou toda água nós ficamos sem água
audio_10069.wav,[Erro] Não foi possível transcrever o áudio
audio_1007.wav,[Erro] Não foi possível transcrever o áudio
audio_10070.wav,cirurgia BNDES numa entrevista
audio_10072.wav,do Brasil no tocante à sua política
audio_10073.wav,não vai mudar mais delegado do caso Marielle não
audio_10074.wav,a moto deles vou dar uma porrada muito
audio_10075.wav,ele vai ver
audio_10076.wav,aí foi baixando baixando a minha mãe chegou aí
audio_10077.wav,garantia da palavra nascimento do PT
audio_10078.wav,ou seja
audio_10079.wav,[Erro] Não foi possível transcrever o áudio
audio_1008.wav,[Erro] Não foi possível transcrever o áudio
audio_10080.wav,unidade do emprego que defende coisas como
audio_10081.wav,e esse sentimento e o bolsonaro traduziu isso como uma figura
audio_10082.wav,e ao longo da nossa vida eu eu o nosso pai sempre
audio_10083.wav,para definir para quem vai perder a eleição uma parte expressiva deles podem ir para o hadda
audio_10084.wav,suporte dá um capim faz um chá
audio_10085.wav,aí eu pensei
audio_10086.wav,Então vai sustar a
audio_10088.wav,ver um país em Ruínas
audio_10089.wav,nosso amigo do falecido
audio_1009.wav,acho que nós temos que ter em mente que a tática do
audio_10090.wav,solicitar melhor seus compromissos de falar em carta
audio_10091.wav,Eu falo sempre de um sistema de troca de favores
audio_10092.wav,Esse era o mundo daquele tempo então é
audio_10093.wav,[Erro] Não foi possível transcrever o áudio
audio_10094.wav,a gente gosta de depilar a primeira vez que eu fiz
audio_10095.wav,estamos de volta com Roda Viva com Guilherme boulos quer me perguntar agora
audio_10096.wav,fala não à esquerda e
audio_10097.wav,[Erro] Não foi possível transcrever o áudio
audio_10098.wav,eu não vou falar nada quem é sabe quem é cria tá ligado
audio_10099.wav,bota a senha e Lana do Tocantins no
audio_101.wav,[Erro] Não foi possível transcrever o áudio
audio_1010.wav,vocês acham que essa senhora
audio_10100.wav,todos os técnicos
audio_10101.wav,específica ainda
audio_10102.wav,ouro rápido com pt lá
audio_10103.wav,porque tu acha que na Europa se produz tudo tudo é maravilhoso Espetacular
audio_10104.wav,[Erro] Não foi possível transcrever o áudio
audio_10105.wav,pelos empresários pelos patrões
audio_10106.wav,[Erro] Não foi possível transcrever o áudio
audio_10107.wav,do caráter de terra arrasada que aconteceu no PSDB
audio_10108.wav,falsificou uma propo
audio_10109.wav,Haddad para o presidente Lula e como qual vai ser
audio_1011.wav,só mais uma música
audio_10110.wav,aproveitar a vida divers
audio_10111.wav,a cada dia eu tenho que aprender
audio_10112.wav,qual o salário do nível do gerente de multinacional você vai ganhar mais ou menos
audio_10113.wav,menos constrangimento isso sempre existiu sempre existiu
audio_10114.wav,[Erro] Não foi possível transcrever o áudio
audio_10115.wav,inflação
audio_10117.wav,plural que o PT precisa e a Coligação do
audio_10118.wav,por favor eu vou dizer
audio_10119.wav,[Erro] Não foi possível transcrever o áudio
audio_1012.wav,dizer que um deles é o ministro
audio_10120.wav,Existe um curso
audio_10121.wav,bola de haxixe não haxixe não assim não é lógico nenhum momento
audio_10122.wav,e mais do que isso Vera
audio_10123.wav,[Erro] Não foi possível transcrever o áudio
audio_10124.wav,do voto impresso
audio_10125.wav,na saída o barco balançava muito eu dormir
audio_10126.wav,Olha eu eu vejo aí eu penso que de antem
audio_10127.wav,[Erro] Não foi possível transcrever o áudio
audio_10129.wav,da mídia fica fácil para você estabe
audio_1013.wav,depois do partido depositou exatamente
audio_10130.wav,da República vai utilizar mais uma vez
audio_10131.wav,Eleitoral do PT
audio_10132.wav,[Erro] Não foi possível transcrever o áudio
audio_10133.wav,milionários nós teremos
audio_10134.wav,votação bem tratados no mundo todo como heróis nacionais né é o único
audio_10135.wav,Então na verdade eu sou apaixonado pelo produtor queria deixar esse Claro
audio_10137.wav,Mas eu acredito que o Brasil precisa
audio_10138.wav,[Erro] Não foi possível transcrever o áudio
audio_10139.wav,sim a solidez do estado e de um conjunto de uma burocracia no sentido
audio_1014.wav,foto de inteligência por exemplo das forças que
audio_10140.wav,"e uns 2,7"
audio_10141.wav,Total entre o
audio_10142.wav,desde que haja
audio_10143.wav,ela falou tô vendo ele ela conseguiu ver ela acho
audio_10144.wav,a forma do programa A verdade é que começou
audio_10145.wav,a conversa
audio_10146.wav,básica lutar para melhorar as condições de vida da classe trabalhadora brasileira
audio_10148.wav,vamos tentar
audio_10149.wav,o negócio da FIFA um pirão de plástico ele dá tudo
audio_1015.wav,Dávila não fez qualquer
audio_10150.wav,aconteceu isso e eu fui passar no grupo e eu dei o play no vídeo e ela tava do
audio_10151.wav,se você não tem tempo
audio_10152.wav,documento da classe dominante
audio_10153.wav,são governista com 315 cadeiras
audio_10154.wav,coloca não é uma possibilidade do meu nome
audio_10155.wav,mesmo com direito a fantasia homem
audio_10156.wav,Quantas coisas eu evito ruins que eu evitei que
audio_10157.wav,pelo amor de Deus tem certeza
audio_10158.wav,[Erro] Não foi possível transcrever o áudio
audio_10159.wav,[Erro] Não foi possível transcrever o áudio
audio_1016.wav,não eu quero liberdade para valer
audio_10160.wav,fala sobre esse episódio
audio_10161.wav,E aí eu desci e falei poxa não nem para me ajudar
audio_10162.wav,da Unimed porque
audio_10163.wav,supor eu vou pegar a tua
audio_10164.wav,já já com o candidato pelo psl
audio_10165.wav,sei que todo mundo pegou esse voo eu fui dormindo
audio_10166.wav,e tudo aquilo que nós sofremos fosse Deputado mais votado de São Paulo
audio_10167.wav,compartilham esses valores com o presidente
audio_10169.wav,ela deve estar preocupada
audio_1017.wav,se ele não viu tinha tinha um abismo
audio_10170.wav,você pode pegar um brownie você pode pegar um como chama um
audio_10171.wav,quem demonstra interesse pela corrupção
audio_10173.wav,difere das outras candidaturas e portanto não tenho nem que ter constrangimento e
audio_10174.wav,certamente poderão montar blocos parlamentares
audio_10175.wav,que seja 170 aí você vai para
audio_10176.wav,[Erro] Não foi possível transcrever o áudio
audio_10177.wav,fucking farol
audio_10178.wav,[Erro] Não foi possível transcrever o áudio
audio_10179.wav,Taiguara eu acho
audio_1018.wav,muito uma direção do Kiki que que dava esse filme para ele às vezes
audio_10181.wav,ou é um fim em si mesmo como
audio_10183.wav,chique igual Mel enrola enrola
audio_10184.wav,vamos investigar eu sou um cara de eu
audio_10186.wav,uma frase ou um verso importante
audio_10187.wav,indiretas havia muita resistência dentro do próprio PMDB e do PT lá de que não queria
audio_10188.wav,jamais do ensino Funda
audio_10189.wav,punheta pelo menos
audio_1019.wav,[Erro] Não foi possível transcrever o áudio
audio_10190.wav,vai chegar o socialismo para a gente discutir olha qual é a forma que vamos
audio_10191.wav,o tempo em que trabalhava comigo o serviço extraordinário a
audio_10193.wav,[Erro] Não foi possível transcrever o áudio
audio_10194.wav,convencer mais gente para
audio_10195.wav,de muito pau que eu tomei por alguns analistas os sociólogos que escrevem para folha
audio_10196.wav,Argentina existe mesmo ou foi uma coisa que eu inventei não você inventou
audio_10197.wav,pretos no pico e cancelou o salários em momentos sabe
audio_10198.wav,intervencionista assim
audio_10199.wav,é um
